measure,interval_start,interval_end,ratio,numerator,denominator,num_weeks
count_post,2000-01-01,2000-01-07,0.357819905,302,844,9
count_post,2000-01-01,2000-01-07,0.292121212,241,825,7
count_post,2000-01-01,2000-01-07,0.38963964,346,888,30
count_post,2000-01-01,2000-01-07,0.316397229,274,866,28
count_post,2000-01-01,2000-01-07,0.318510858,308,967,15
count_post,2000-01-01,2000-01-07,0.43875,351,800,21
count_post,2000-01-01,2000-01-07,0.381959911,343,898,32
count_post,2000-01-01,2000-01-07,0.248447205,240,966,35
count_post,2000-01-01,2000-01-07,0.254060325,219,862,19
count_post,2000-01-01,2000-01-07,0.393743258,365,927,51
count_post,2000-01-01,2000-01-07,0.417989418,395,945,31
count_post,2000-01-01,2000-01-07,0.404968944,326,805,20
count_post,2000-01-08,2000-01-14,0.390243902,384,984,9
count_post,2000-01-08,2000-01-14,0.309368192,284,918,7
count_post,2000-01-08,2000-01-14,0.362459547,336,927,30
count_post,2000-01-08,2000-01-14,0.43793911,374,854,28
count_post,2000-01-08,2000-01-14,0.309257375,304,983,15
count_post,2000-01-08,2000-01-14,0.292576419,268,916,21
count_post,2000-01-08,2000-01-14,0.366164542,316,863,32
count_post,2000-01-08,2000-01-14,0.423212192,361,853,35
count_post,2000-01-08,2000-01-14,0.261904762,231,882,19
count_post,2000-01-08,2000-01-14,0.355726872,323,908,51
count_post,2000-01-08,2000-01-14,0.307602339,263,855,31
count_post,2000-01-08,2000-01-14,0.264826176,259,978,20
count_post,2000-01-15,2000-01-21,0.349264706,285,816,9
count_post,2000-01-15,2000-01-21,0.291571754,256,878,7
count_post,2000-01-15,2000-01-21,0.416666667,360,864,30
count_post,2000-01-15,2000-01-21,0.211009174,207,981,28
count_post,2000-01-15,2000-01-21,0.405017921,339,837,15
count_post,2000-01-15,2000-01-21,0.384259259,332,864,21
count_post,2000-01-15,2000-01-21,0.454212454,372,819,32
count_post,2000-01-15,2000-01-21,0.442222222,398,900,35
count_post,2000-01-15,2000-01-21,0.428738318,367,856,19
count_post,2000-01-15,2000-01-21,0.336179296,315,937,51
count_post,2000-01-15,2000-01-21,0.383512545,321,837,31
count_post,2000-01-15,2000-01-21,0.27037037,219,810,20
count_post,2000-01-22,2000-01-28,0.356236786,337,946,9
count_post,2000-01-22,2000-01-28,0.46625,373,800,7
count_post,2000-01-22,2000-01-28,0.384965831,338,878,30
count_post,2000-01-22,2000-01-28,0.274752475,222,808,28
count_post,2000-01-22,2000-01-28,0.263527054,263,998,15
count_post,2000-01-22,2000-01-28,0.260598504,209,802,21
count_post,2000-01-22,2000-01-28,0.409297052,361,882,32
count_post,2000-01-22,2000-01-28,0.3433923,330,961,35
count_post,2000-01-22,2000-01-28,0.242206235,202,834,19
count_post,2000-01-22,2000-01-28,0.363941769,325,893,51
count_post,2000-01-22,2000-01-28,0.249742002,242,969,31
count_post,2000-01-22,2000-01-28,0.332175926,287,864,20
count_post,2000-01-29,2000-02-04,0.300309598,291,969,9
count_post,2000-01-29,2000-02-04,0.394484412,329,834,7
count_post,2000-01-29,2000-02-04,0.403707518,392,971,30
count_post,2000-01-29,2000-02-04,0.248366013,228,918,28
count_post,2000-01-29,2000-02-04,0.294188862,243,826,15
count_post,2000-01-29,2000-02-04,0.246516613,230,933,21
count_post,2000-01-29,2000-02-04,0.418367347,369,882,32
count_post,2000-01-29,2000-02-04,0.451190476,379,840,35
count_post,2000-01-29,2000-02-04,0.22515213,222,986,19
count_post,2000-01-29,2000-02-04,0.385218365,344,893,51
count_post,2000-01-29,2000-02-04,0.222338205,213,958,31
count_post,2000-01-29,2000-02-04,0.215746421,211,978,20
count_post,2000-02-05,2000-02-11,0.392658509,353,899,9
count_post,2000-02-05,2000-02-11,0.387133183,343,886,7
count_post,2000-02-05,2000-02-11,0.418246445,353,844,30
count_post,2000-02-05,2000-02-11,0.332974138,309,928,28
count_post,2000-02-05,2000-02-11,0.250278087,225,899,15
