measure,interval_start,interval_end,ratio,numerator,denominator,prior_opioid_rx,age_group,imd_decile
count_wait,2000-01-01,2000-01-07,0.154861945,129,833,,,
count_wait_prior,2000-01-01,2000-01-07,0.056367432,54,958,T,,
count_wait_prior,2000-01-01,2000-01-07,0.103869654,102,982,F,,
count_wait_age,2000-01-01,2000-01-07,0.176682692,147,832,,40-49,
count_wait_age,2000-01-01,2000-01-07,0.122685185,106,864,,18-39,
count_wait_age,2000-01-01,2000-01-07,0.103517588,103,995,,80+,
count_wait_age,2000-01-01,2000-01-07,0.082884822,77,929,,70-79,
count_wait_age,2000-01-01,2000-01-07,0.146904512,140,953,,60-69,
count_wait_age,2000-01-01,2000-01-07,0.145196507,133,916,,50-59,
count_wait_imd,2000-01-01,2000-01-07,0.092091008,85,923,,,Unknown
count_wait_imd,2000-01-01,2000-01-07,0.120126449,114,949,,,5
count_wait_imd,2000-01-01,2000-01-07,0.154689403,127,821,,,2
count_wait_imd,2000-01-01,2000-01-07,0.094472362,94,995,,,1 (most deprived)
count_wait_imd,2000-01-01,2000-01-07,0.125689085,114,907,,,9
count_wait_imd,2000-01-01,2000-01-07,0.152122642,129,848,,,3
count_wait_imd,2000-01-01,2000-01-07,0.057823129,51,882,,,10 (least deprived)
count_wait_imd,2000-01-01,2000-01-07,0.159118727,130,817,,,4
count_wait_imd,2000-01-01,2000-01-07,0.115621156,94,813,,,8
count_wait_imd,2000-01-01,2000-01-07,0.080446927,72,895,,,7
count_wait_imd,2000-01-01,2000-01-07,0.074527253,67,899,,,6
count_wait,2000-01-08,2000-01-14,0.084745763,75,885,,,
count_wait_prior,2000-01-08,2000-01-14,0.151785714,136,896,T,,
count_wait_prior,2000-01-08,2000-01-14,0.146603099,123,839,F,,
count_wait_age,2000-01-08,2000-01-14,0.079956188,73,913,,40-49,
count_wait_age,2000-01-08,2000-01-14,0.074157303,66,890,,18-39,
count_wait_age,2000-01-08,2000-01-14,0.117341641,113,963,,80+,
count_wait_age,2000-01-08,2000-01-14,0.148664344,128,861,,70-79,
count_wait_age,2000-01-08,2000-01-14,0.180798005,145,802,,60-69,
count_wait_age,2000-01-08,2000-01-14,0.142322097,114,801,,50-59,
count_wait_imd,2000-01-08,2000-01-14,0.091236495,76,833,,,Unknown
count_wait_imd,2000-01-08,2000-01-14,0.15990991,142,888,,,5
count_wait_imd,2000-01-08,2000-01-14,0.125439625,107,853,,,2
count_wait_imd,2000-01-08,2000-01-14,0.126157407,109,864,,,1 (most deprived)
count_wait_imd,2000-01-08,2000-01-14,0.146898803,135,919,,,9
count_wait_imd,2000-01-08,2000-01-14,0.14566474,126,865,,,3
count_wait_imd,2000-01-08,2000-01-14,0.164417178,134,815,,,10 (least deprived)
