measure,interval_start,interval_end,ratio,numerator,denominator,prior_opioid_rx,age_group,imd_decile,sex
count_pre,2000-01-01,2000-01-07,0.368475992,353,958,,,,
count_pre_prior,2000-01-01,2000-01-07,0.579254079,497,858,T,,,
count_pre_prior,2000-01-01,2000-01-07,0.306230201,290,947,F,,,
count_pre_age,2000-01-01,2000-01-07,0.495896835,423,853,,18-39,,
count_pre_age,2000-01-01,2000-01-07,0.42338252,373,881,,80+,,
count_pre_age,2000-01-01,2000-01-07,0.43986637,395,898,,70-79,,
count_pre_age,2000-01-01,2000-01-07,0.341929322,358,1047,,40-49,,
count_pre_age,2000-01-01,2000-01-07,0.264965653,270,1019,,60-69,,
count_pre_age,2000-01-01,2000-01-07,0.524920467,495,943,,50-59,,
count_pre_imd,2000-01-01,2000-01-07,0.318287037,275,864,,,Unknown,
count_pre_imd,2000-01-01,2000-01-07,0.41889313,439,1048,,,5,
count_pre_imd,2000-01-01,2000-01-07,0.326572008,322,986,,,2,
count_pre_imd,2000-01-01,2000-01-07,0.4140625,424,1024,,,1 (most deprived),
count_pre_imd,2000-01-01,2000-01-07,0.436915888,374,856,,,9,
count_pre_imd,2000-01-01,2000-01-07,0.370044053,336,908,,,3,
count_pre_imd,2000-01-01,2000-01-07,0.416211293,457,1098,,,10 (least deprived),
count_pre_imd,2000-01-01,2000-01-07,0.393125671,366,931,,,4,
count_pre_imd,2000-01-01,2000-01-07,0.331749049,349,1052,,,8,
count_pre_imd,2000-01-01,2000-01-07,0.580985915,495,852,,,7,
count_pre_imd,2000-01-01,2000-01-07,0.451787649,417,923,,,6,
count_pre_sex,2000-01-01,2000-01-07,0.381261596,411,1078,,,,female
count_pre_sex,2000-01-01,2000-01-07,0.565972222,489,864,,,,male
count_pre,2000-01-08,2000-01-14,0.339602926,325,957,,,,
count_pre_prior,2000-01-08,2000-01-14,0.520307355,474,911,T,,,
count_pre_prior,2000-01-08,2000-01-14,0.37473904,359,958,F,,,
count_pre_age,2000-01-08,2000-01-14,0.429543246,442,1029,,18-39,,
count_pre_age,2000-01-08,2000-01-14,0.509202454,498,978,,80+,,
count_pre_age,2000-01-08,2000-01-14,0.566704675,497,877,,70-79,,
count_pre_age,2000-01-08,2000-01-14,0.276955603,262,946,,40-49,,
count_pre_age,2000-01-08,2000-01-14,0.399328859,357,894,,60-69,,
count_pre_age,2000-01-08,2000-01-14,0.364398882,391,1073,,50-59,,
count_pre_imd,2000-01-08,2000-01-14,0.37360179,334,894,,,Unknown,
count_pre_imd,2000-01-08,2000-01-14,0.288329519,252,874,,,5,
count_pre_imd,2000-01-08,2000-01-14,0.402862986,394,978,,,2,
count_pre_imd,2000-01-08,2000-01-14,0.282449726,309,1094,,,1 (most deprived),
count_pre_imd,2000-01-08,2000-01-14,0.395791583,395,998,,,9,
count_pre_imd,2000-01-08,2000-01-14,0.347908745,366,1052,,,3,
