code,term,dmd_id
42017811000001106,Tramadol 50mg capsules,42017811000001106
246311000001101,Tramadol 50mg capsules,246311000001101
20170311000001107,Tramadol 50mg capsules,20170311000001107
886411000001108,Tramadol 50mg capsules,886411000001108
939711000001107,Tramadol 50mg capsules,939711000001107
9800611000001103,Tramadol 50mg capsules,9800611000001103
10414511000001103,Tramadol 50mg capsules,10414511000001103
16069711000001109,Tramadol 50mg capsules,16069711000001109
38620211000001101,Tramadol 50mg capsules,38620211000001101
28803911000001101,Tramadol 50mg capsules,28803911000001101
10290811000001105,Tramadol 50mg capsules,10290811000001105
41847311000001106,Tramadol 50mg capsules,41847311000001106
4821211000001104,Tramadol 50mg capsules,4821211000001104
746011000001106,Tramadol 50mg capsules,746011000001106
905911000001101,Tramadol 50mg capsules,905911000001101
30924411000001106,Tramadol 50mg capsules,30924411000001106
39915011000001107,Tramadol 50mg capsules,39915011000001107
36238411000001107,Tramadol 50mg capsules,36238411000001107
35187411000001102,Tramadol 50mg capsules,35187411000001102
24136911000001105,Tramadol 50mg capsules,24136911000001105
10444611000001105,Tramadol 50mg capsules,10444611000001105
37507411000001107,Tramadol 50mg capsules,37507411000001107
36732111000001108,Tramadol 50mg capsules,36732111000001108
11415411000001109,Tramadol 50mg capsules,11415411000001109
17860911000001102,Tramadol 50mg capsules,17860911000001102
40703011000001103,Tramadol 50mg capsules,40703011000001103
849011000001103,Tramadol 50mg capsules,849011000001103
36925411000001101,Tramadol 50mg capsules,36925411000001101
24622911000001109,Tramadol 50mg capsules,24622911000001109
15195711000001100,Tramadol 50mg capsules,15195711000001100
796411000001109,Tramadol 50mg capsules,796411000001109
26787711000001101,Tramadol 50mg capsules,26787711000001101
812811000001107,Tramadol 50mg capsules,812811000001107
21892011000001100,Tramadol 50mg capsules,21892011000001100
736011000001107,Tramadol 50mg capsules,736011000001107
35920411000001105,Tramadol 100mg/2ml solution for injection ampoules,35920411000001105
10059911000001106,Tramadol 100mg/2ml solution for injection ampoules,10059911000001106
39145611000001106,Tramadol 100mg/2ml solution for injection ampoules,39145611000001106
14978511000001103,Tramadol 100mg/2ml solution for injection ampoules,14978511000001103
10072711000001101,Tramadol 100mg/2ml solution for injection ampoules,10072711000001101
41209311000001100,Tramadol 100mg/2ml solution for injection ampoules,41209311000001100
28798511000001104,Tramadol 100mg/2ml solution for injection ampoules,28798511000001104
35920311000001103,Tramadol 100mg modified-release tablets,35920311000001103
35920611000001108,Tramadol 150mg modified-release tablets,35920611000001108
35920811000001107,Tramadol 200mg modified-release tablets,35920811000001107
39714911000001102,Tramadol 50mg soluble tablets sugar free,39714911000001102
35940111000001103,Tramadol 50mg modified-release capsules,35940111000001103
28838511000001107,Tramadol 50mg modified-release capsules,28838511000001107
40589011000001102,Tramadol 50mg modified-release capsules,40589011000001102
35920211000001106,Tramadol 100mg modified-release capsules,35920211000001106
28839311000001107,Tramadol 100mg modified-release capsules,28839311000001107
40589411000001106,Tramadol 100mg modified-release capsules,40589411000001106
